Timestamp,Game State,Team,Player,Penalized,Pose X,Pose Y, Pose A, isFallen, Ball Age, Ball X, Ball Y
196,R,19,6,U,-2000.0001,-3000.0002,1.5707756,false,362119.0,0.0,0.0
225,R,19,1,U,-4186.339,3020.9841,-1.4681746,false,293859.0,0.0,0.0
255,R,19,5,U,-2958.78,-3039.8918,1.571145,false,293877.0,0.0,0.0
319,R,13,4,U,-1217.9116,2941.1953,-2.150891,false,-1.0,-10.0,-10.0
319,R,13,2,U,-2378.9243,3018.8186,-0.9920989,false,-1.0,-10.0,-10.0
332,R,13,6,U,-1081.028,2992.3003,-1.4188702,false,-1.0,-10.0,-10.0
339,R,13,5,U,-2965.5781,2026.371,1.4139524,false,-1.0,-10.0,-10.0
483,R,19,3,U,-2000.0002,3000.0007,-1.5722364,false,362560.0,0.0,0.0
584,R,13,1,U,-4042.2507,3074.4866,-1.4436139,false,-1.0,-10.0,-10.0
600,R,19,2,U,-2949.4033,3053.1956,-1.7402523,false,294107.0,0.0,0.0
695,R,19,7,U,-1000.0001,-3000.0007,1.5633808,false,294362.0,0.0,0.0
750,R,13,7,U,-1393.6359,-2986.2642,1.1560999,false,-1.0,-10.0,-10.0
814,R,19,4,U,-873.60126,3017.0786,-1.3681506,false,176653.0,0.0,0.0
1199,R,19,1,U,-4040.5288,2952.5745,-1.9130765,false,294876.0,0.0,0.0
1223,R,19,6,U,-2114.2185,-2984.388,1.737278,false,363152.0,0.0,0.0
1299,R,19,5,U,-2941.6428,-2990.9185,1.5828308,false,294943.0,0.0,0.0
1323,R,13,2,U,-2385.5623,2900.6785,-1.2701746,false,-1.0,-10.0,-10.0
1323,R,13,4,U,-2370.1423,-3003.1907,1.0583044,false,-1.0,-10.0,-10.0
1340,R,13,6,U,-1050.1967,2907.8862,-1.614026,false,-1.0,-10.0,-10.0
1345,R,13,5,U,-3376.187,-2948.8005,1.3451914,false,-1.0,-10.0,-10.0
1489,R,19,3,U,-1989.2334,2968.9653,-1.4386547,false,363593.0,0.0,0.0
1631,R,19,2,U,-2959.9795,2976.0522,-1.5869628,false,295107.0,0.0,0.0
1651,R,19,7,U,-1128.8901,-2943.2375,1.3943613,false,295376.0,0.0,0.0
1742,R,13,7,U,-1380.9056,-2813.2786,1.773676,false,-1.0,-10.0,-10.0
1786,R,13,1,U,-3801.6875,2916.6401,-1.4068123,false,-1.0,-10.0,-10.0
1900,R,19,4,U,-894.424,2910.362,-1.3881395,false,177698.0,0.0,0.0
2288,R,19,1,U,-4089.8284,2860.1882,-1.9711508,false,295958.0,0.0,0.0
2300,R,19,6,U,-2118.929,-2842.0806,1.4945365,false,364154.0,0.0,0.0
2321,R,13,2,U,-2409.5059,2721.044,-1.8898926,false,-1.0,-10.0,-10.0
2337,R,13,6,U,-1062.0333,2692.333,-1.6634498,false,-1.0,-10.0,-10.0
2342,R,13,5,U,-3316.5212,-2794.805,1.7429726,false,-1.0,-10.0,-10.0
2371,R,13,4,U,-2348.4297,-2822.6028,1.4287075,false,-1.0,-10.0,-10.0
2402,R,19,5,U,-2975.3096,-2782.3904,1.677926,false,296042.0,0.0,0.0
2508,R,19,3,U,-1506.6317,2810.239,-1.3614987,false,364632.0,0.0,0.0
2608,R,13,1,U,-3676.0415,2960.1553,-2.0479035,false,-1.0,-10.0,-10.0
2683,R,19,2,U,-3040.0728,2836.8418,-1.6688356,false,296173.0,0.0,0.0
2741,R,19,7,U,-1130.0415,-2816.5876,1.2512555,false,296395.0,0.0,0.0
2741,R,13,7,U,-1406.6648,-2576.4436,1.8192203,false,-1.0,-10.0,-10.0
3224,R,19,4,U,-845.9669,2896.2126,-1.5700592,false,178718.0,0.0,0.0
3259,R,19,6,U,-2143.384,-2704.2083,1.4481128,false,365154.0,0.0,0.0
3323,R,13,4,U,-2332.6482,-2585.8179,1.5123667,false,-1.0,-10.0,-10.0
3323,R,13,2,U,-2525.9954,2523.1562,-2.088815,false,-1.0,-10.0,-10.0
3336,R,13,6,U,-1085.6448,2476.7114,-1.8420408,false,-1.0,-10.0,-10.0
3342,R,13,5,U,-3163.779,-2665.3496,1.9272748,false,-1.0,-10.0,-10.0
3350,R,19,1,U,-4147.0254,2805.0173,-1.9420478,false,296958.0,0.0,0.0
3452,R,19,5,U,-2998.317,-2670.5437,1.6105603,false,297072.0,0.0,0.0
3582,R,13,1,U,-3761.6118,2757.9214,-1.704395,false,-1.0,-10.0,-10.0
3591,R,19,3,U,-1512.1134,2680.3162,-1.7152253,false,365698.0,0.0,0.0
3688,R,19,7,U,-967.7483,-2819.365,1.211291,false,297408.0,0.0,0.0
3746,R,13,7,U,-1418.8845,-2336.0972,1.789872,false,-1.0,-10.0,-10.0
3765,R,19,2,U,-3084.5583,2709.0693,-1.6732252,false,297184.0,0.0,0.0
3970,R,19,4,U,-807.8968,2685.55,-1.5186679,false,179818.0,0.0,0.0
4272,R,19,6,U,-2152.083,-2611.3552,1.4806856,false,366186.0,0.0,0.0
4328,R,13,2,U,-2597.3455,2342.5808,-2.1352355,false,-1.0,-10.0,-10.0
4330,R,19,1,U,-4714.982,2550.065,-1.3719591,false,298007.0,0.0,0.0
4333,R,13,4,U,-2286.2373,-2356.1516,1.5094945,false,-1.0,-10.0,-10.0
4347,R,13,6,U,-1183.6649,2233.5298,-1.4682792,false,-1.0,-10.0,-10.0
4363,R,13,5,U,-3241.7495,-2440.4365,1.903496,false,-1.0,-10.0,-10.0
4506,R,19,5,U,-2996.207,-2547.1687,1.6112123,false,298108.0,0.0,0.0
4579,R,13,1,U,-3812.2815,2570.6895,-1.6896327,false,-1.0,-10.0,-10.0
4603,R,19,3,U,-1543.1619,2448.3914,-1.5144006,false,366731.0,0.0,0.0
4692,R,19,7,U,-987.40155,-2699.1523,1.4389274,false,298408.0,0.0,0.0
4748,R,13,7,U,-1446.6212,-2101.1704,1.8629321,false,-1.0,-10.0,-10.0
4765,R,19,2,U,-3055.9573,2551.7368,-1.4059683,false,298271.0,0.0,0.0
5282,R,19,6,U,-2157.5283,-2422.6152,1.4465469,false,367186.0,0.0,0.0
5319,R,13,4,U,-2185.3823,-2172.339,1.7251222,false,-1.0,-10.0,-10.0
5343,R,13,5,U,-3264.6562,-2221.0117,1.774693,false,-1.0,-10.0,-10.0
5346,R,19,1,U,-4662.4097,2368.1196,-1.1983807,false,299007.0,0.0,0.0
5352,R,13,6,U,-1230.5463,2024.3748,-0.53838897,false,-1.0,-10.0,-10.0
5368,R,13,2,U,-2593.7751,2163.2466,-1.848255,false,-1.0,-10.0,-10.0
5400,R,19,4,U,-767.7755,2532.5466,-1.6185483,false,180863.0,0.0,0.0
5589,R,13,1,U,-3858.541,2252.385,-1.8114148,false,-1.0,-10.0,-10.0
5592,R,19,5,U,-3012.9224,-2355.7898,1.5521206,false,299141.0,0.0,0.0
5640,R,19,3,U,-1618.2738,2271.8157,-1.5355422,false,367757.0,0.0,0.0
5710,R,19,7,U,-1082.5063,-2596.147,1.2263567,false,299440.0,0.0,0.0
5761,R,13,7,U,-1464.438,-1909.3878,1.743039,false,-1.0,-10.0,-10.0
5785,R,19,2,U,-3118.651,2366.0369,-1.6969548,false,299271.0,0.0,0.0
6031,R,19,4,U,-801.7316,2316.9402,-1.567401,false,181883.0,0.0,0.0
6287,R,19,6,U,-2093.6875,-2305.3276,1.4624488,false,368216.0,0.0,0.0
6320,R,13,4,U,-2049.6665,-2001.7115,1.4068233,false,-1.0,-10.0,-10.0
6322,R,13,2,U,-2673.4382,1985.8632,-1.4284997,false,-1.0,-10.0,-10.0
6348,R,13,5,U,-3253.691,-1912.2968,1.7161497,false,-1.0,-10.0,-10.0
6351,R,13,6,U,-1190.7649,1820.0348,-0.11012321,false,-1.0,-10.0,-10.0
6368,R,19,1,U,-4583.9883,2175.2578,-0.9901799,false,300023.0,0.0,0.0
6557,R,19,5,U,-3046.3613,-2274.274,1.5909919,false,300173.0,0.0,0.0
